time,v_1,v_2,i_1
0.10850,5.00000,4.42292,0.05771
0.10900,5.00000,4.42863,0.05714
0.10950,5.00000,4.43429,0.05657
0.11000,5.00000,4.43989,0.05601
0.11050,5.00000,4.44544,0.05546
0.11100,5.00000,4.45093,0.05491
0.11150,5.00000,4.45636,0.05436
0.11200,5.00000,4.46174,0.05383
0.11250,5.00000,4.46707,0.05329
0.11300,5.00000,4.47235,0.05276
0.11350,5.00000,4.47757,0.05224
0.11400,5.00000,4.48275,0.05173
0.11450,5.00000,4.48787,0.05121
0.11500,5.00000,4.49294,0.05071
0.11550,5.00000,4.49796,0.05020
0.11600,5.00000,4.50293,0.04971
0.11650,5.00000,4.50785,0.04922
0.11700,5.00000,4.51272,0.04873
0.11750,5.00000,4.51755,0.04825
0.11800,5.00000,4.52232,0.04777
0.11850,5.00000,4.52705,0.04729
0.11900,5.00000,4.53173,0.04683
0.11950,5.00000,4.53637,0.04636
0.12000,5.00000,4.54096,0.04590
0.12050,5.00000,4.54551,0.04545
0.12100,5.00000,4.55000,0.04500
0.12150,5.00000,4.55446,0.04455
0.12200,5.00000,4.55887,0.04411
0.12250,5.00000,4.56324,0.04368
0.12300,5.00000,4.56756,0.04324
0.12350,5.00000,4.57184,0.04282
0.12400,5.00000,4.57608,0.04239
0.12450,5.00000,4.58028,0.04197
0.12500,5.00000,4.58444,0.04156
0.12550,5.00000,4.58855,0.04115
0.12600,5.00000,4.59262,0.04074
0.12650,5.00000,4.59666,0.04033
0.12700,5.00000,4.60065,0.03994
0.12750,5.00000,4.60460,0.03954
0.12800,5.00000,4.60852,0.03915
0.12850,5.00000,4.61239,0.03876
0.12900,5.00000,4.61623,0.03838
0.12950,5.00000,4.62003,0.03800
0.13000,5.00000,4.62379,0.03762
0.13050,5.00000,4.62752,0.03725
0.13100,5.00000,4.63121,0.03688
0.13150,5.00000,4.63486,0.03651
0.13200,5.00000,4.63847,0.03615
0.13250,5.00000,4.64205,0.03579
0.13300,5.00000,4.64559,0.03544
0.13350,5.00000,4.64910,0.03509
0.13400,5.00000,4.65258,0.03474
0.13450,5.00000,4.65602,0.03440
0.13500,5.00000,4.65942,0.03406
0.13550,5.00000,4.66279,0.03372
0.13600,5.00000,4.66613,0.03339
0.13650,5.00000,4.66944,0.03306
0.13700,5.00000,4.67271,0.03273
0.13750,5.00000,4.67595,0.03240
0.13800,5.00000,4.67916,0.03208
0.13850,5.00000,4.68234,0.03177
0.13900,5.00000,4.68548,0.03145
0.13950,5.00000,4.68859,0.03114
0.14000,5.00000,4.69168,0.03083
0.14050,5.00000,4.69473,0.03053
0.14100,5.00000,4.69775,0.03022
0.14150,5.00000,4.70074,0.02993
0.14200,5.00000,4.70371,0.02963
0.14250,5.00000,4.70664,0.02934
0.14300,5.00000,4.70954,0.02905
0.14350,5.00000,4.71242,0.02876
0.14400,5.00000,4.71527,0.02847
0.14450,5.00000,4.71809,0.02819
0.14500,5.00000,4.72088,0.02791
0.14550,5.00000,4.72364,0.02764
0.14600,5.00000,4.72638,0.02736
0.14650,5.00000,4.72908,0.02709
0.14700,5.00000,4.73177,0.02682
0.14750,5.00000,4.73442,0.02656
0.14800,5.00000,4.73705,0.02629
0.14850,5.00000,4.73965,0.02603
0.14900,5.00000,4.74223,0.02578
0.14950,5.00000,4.74478,0.02552
0.15000,5.00000,4.74731,0.02527
0.15050,5.00000,4.74981,0.02502
0.15100,5.00000,4.75229,0.02477
0.15150,5.00000,4.75474,0.02453
0.15200,5.00000,4.75717,0.02428
0.15250,5.00000,4.75957,0.02404
0.15300,5.00000,4.76195,0.02380
0.15350,5.00000,4.76431,0.02357
0.15400,5.00000,4.76664,0.02334
0.15450,5.00000,4.76895,0.02310
0.15500,5.00000,4.77124,0.02288
0.15550,5.00000,4.77351,0.02265
0.15600,5.00000,4.77575,0.02243
0.15650,5.00000,4.77797,0.02220
0.15700,5.00000,4.78017,0.02198
0.15750,5.00000,4.78234,0.02177
0.15800,5.00000,4.78450,0.02155
0.15850,5.00000,4.78663,0.02134
0.15900,5.00000,4.78874,0.02113
0.15950,5.00000,4.79084,0.02092
0.16000,5.00000,4.79291,0.02071
0.16050,5.00000,4.79496,0.02050
0.16100,5.00000,4.79699,0.02030
0.16150,5.00000,4.79900,0.02010
0.16200,5.00000,4.80099,0.01990
0.16250,5.00000,4.80296,0.01970
0.16300,5.00000,4.80491,0.01951
0.16350,5.00000,4.80684,0.01932
0.16400,5.00000,4.80875,0.01913
0.16450,5.00000,4.81064,0.01894
0.16500,5.00000,4.81252,0.01875
0.16550,5.00000,4.81437,0.01856
0.16600,5.00000,4.81621,0.01838
0.16650,5.00000,4.81803,0.01820
0.16700,5.00000,4.81983,0.01802
0.16750,5.00000,4.82162,0.01784
0.16800,5.00000,4.82338,0.01766
0.16850,5.00000,4.82513,0.01749
0.16900,5.00000,4.82686,0.01731
0.16950,5.00000,4.82858,0.01714
0.17000,5.00000,4.83027,0.01697
0.17050,5.00000,4.83195,0.01680
0.17100,5.00000,4.83362,0.01664
0.17150,5.00000,4.83526,0.01647
0.17200,5.00000,4.83689,0.01631
0.17250,5.00000,4.83851,0.01615
0.17300,5.00000,4.84011,0.01599
0.17350,5.00000,4.84169,0.01583
0.17400,5.00000,4.84326,0.01567
0.17450,5.00000,4.84481,0.01552
0.17500,5.00000,4.84635,0.01537
0.17550,5.00000,4.84787,0.01521
0.17600,5.00000,4.84937,0.01506
0.17650,5.00000,4.85086,0.01491
0.17700,5.00000,4.85234,0.01477
0.17750,5.00000,4.85380,0.01462
0.17800,5.00000,4.85525,0.01447
0.17850,5.00000,4.85668,0.01433
0.17900,5.00000,4.85810,0.01419
0.17950,5.00000,4.85951,0.01405
0.18000,5.00000,4.86090,0.01391
0.18050,5.00000,4.86228,0.01377
0.18100,5.00000,4.86364,0.01364
0.18150,5.00000,4.86499,0.01350
0.18200,5.00000,4.86632,0.01337
0.18250,5.00000,4.86765,0.01324
0.18300,5.00000,4.86896,0.01310
0.18350,5.00000,4.87026,0.01297
0.18400,5.00000,4.87154,0.01285
0.18450,5.00000,4.87281,0.01272
0.18500,5.00000,4.87407,0.01259
0.18550,5.00000,4.87532,0.01247
0.18600,5.00000,4.87655,0.01234
0.18650,5.00000,4.87777,0.01222
0.18700,5.00000,4.87898,0.01210
0.18750,5.00000,4.88018,0.01198
0.18800,5.00000,4.88137,0.01186
