time,v_1,v_2,i_1,res,pres,pcap,ptot
0.00137,52.00000,0.07176,1.67510,51.92823,86.98521,0.12021,87.10542
0.00138,52.00000,0.07229,1.67509,51.92771,86.98346,0.12109,87.10455
0.00139,52.00000,0.07281,1.67507,51.92719,86.98171,0.12196,87.10367
0.00140,52.00000,0.07333,1.67505,51.92667,86.97996,0.12284,87.10280
0.00141,52.00000,0.07386,1.67504,51.92614,86.97819,0.12372,87.10191
0.00142,52.00000,0.07438,1.67502,51.92562,86.97644,0.12459,87.10104
0.00143,52.00000,0.07491,1.67500,51.92509,86.97469,0.12547,87.10016
0.00144,52.00000,0.07543,1.67499,51.92457,86.97294,0.12634,87.09928
0.00145,52.00000,0.07595,1.67497,51.92405,86.97119,0.12722,87.09841
0.00146,52.00000,0.07648,1.67495,51.92352,86.96943,0.12809,87.09752
0.00147,52.00000,0.07700,1.67494,51.92300,86.96768,0.12897,87.09665
0.00148,52.00000,0.07752,1.67492,51.92248,86.96593,0.12984,87.09577
0.00149,52.00000,0.07805,1.67490,51.92196,86.96417,0.13072,87.09489
0.00150,52.00000,0.07857,1.67488,51.92143,86.96242,0.13159,87.09402
0.00151,52.00000,0.07909,1.67487,51.92091,86.96066,0.13247,87.09313
0.00152,52.00000,0.07962,1.67485,51.92038,86.95891,0.13334,87.09226
0.00153,52.00000,0.08014,1.67483,51.91986,86.95716,0.13422,87.09138
0.00154,52.00000,0.08066,1.67482,51.91934,86.95541,0.13510,87.09050
0.00155,52.00000,0.08119,1.67480,51.91882,86.95366,0.13597,87.08963
0.00156,52.00000,0.08171,1.67478,51.91829,86.95190,0.13685,87.08874
0.00157,52.00000,0.08223,1.67477,51.91777,86.95014,0.13772,87.08787
0.00158,52.00000,0.08276,1.67475,51.91724,86.94839,0.13860,87.08699
0.00159,52.00000,0.08328,1.67473,51.91672,86.94664,0.13947,87.08611
0.00160,52.00000,0.08380,1.67472,51.91620,86.94489,0.14035,87.08524
0.00161,52.00000,0.08433,1.67470,51.91567,86.94313,0.14122,87.08435
0.00162,52.00000,0.08485,1.67468,51.91515,86.94138,0.14210,87.08348
0.00163,52.00000,0.08537,1.67467,51.91463,86.93963,0.14297,87.08260
0.00164,52.00000,0.08590,1.67465,51.91410,86.93788,0.14385,87.08172
0.00165,52.00000,0.08642,1.67463,51.91358,86.93613,0.14472,87.08085
0.00166,52.00000,0.08694,1.67461,51.91306,86.93437,0.14560,87.07996
0.00167,52.00000,0.08747,1.67460,51.91253,86.93261,0.14647,87.07909
0.00168,52.00000,0.08799,1.67458,51.91201,86.93086,0.14735,87.07821
0.00169,52.00000,0.08851,1.67456,51.91149,86.92911,0.14822,87.07733
0.00170,52.00000,0.08904,1.67455,51.91096,86.92736,0.14909,87.07646
0.00171,52.00000,0.08956,1.67453,51.91044,86.92561,0.14997,87.07558
0.00172,52.00000,0.09008,1.67451,51.90992,86.92385,0.15084,87.07470
0.00173,52.00000,0.09061,1.67450,51.90939,86.92210,0.15172,87.07382
0.00174,52.00000,0.09113,1.67448,51.90887,86.92035,0.15259,87.07294
0.00175,52.00000,0.09165,1.67446,51.90835,86.91860,0.15347,87.07207
0.00176,52.00000,0.09218,1.67445,51.90783,86.91685,0.15434,87.07119
0.00177,52.00000,0.09270,1.67443,51.90730,86.91510,0.15522,87.07031
0.00178,52.00000,0.09322,1.67441,51.90678,86.91334,0.15609,87.06943
0.00179,52.00000,0.09375,1.67440,51.90625,86.91159,0.15697,87.06855
0.00180,52.00000,0.09427,1.67438,51.90573,86.90984,0.15784,87.06768
0.00181,52.00000,0.09479,1.67436,51.90521,86.90809,0.15872,87.06680
0.00182,52.00000,0.09531,1.67434,51.90469,86.90634,0.15959,87.06592
0.00183,52.00000,0.09584,1.67433,51.90416,86.90459,0.16046,87.06505
0.00184,52.00000,0.09636,1.67431,51.90364,86.90282,0.16134,87.06417
0.00185,52.00000,0.09688,1.67429,51.90311,86.90107,0.16221,87.06329
0.00186,52.00000,0.09741,1.67428,51.90259,86.89932,0.16309,87.06241
0.00187,52.00000,0.09793,1.67426,51.90207,86.89757,0.16396,87.06154
0.00188,52.00000,0.09845,1.67424,51.90155,86.89582,0.16484,87.06066
0.00189,52.00000,0.09898,1.67423,51.90102,86.89407,0.16571,87.05978
0.00190,52.00000,0.09950,1.67421,51.90050,86.89232,0.16658,87.05891
0.00191,52.00000,0.10002,1.67419,51.89997,86.89056,0.16746,87.05802
0.00192,52.00000,0.10055,1.67418,51.89945,86.88881,0.16833,87.05715
0.00193,52.00000,0.10107,1.67416,51.89893,86.88706,0.16921,87.05627
0.00194,52.00000,0.10159,1.67414,51.89841,86.88531,0.17008,87.05539
0.00195,52.00000,0.10212,1.67413,51.89788,86.88356,0.17096,87.05452
0.00196,52.00000,0.10264,1.67411,51.89736,86.88181,0.17183,87.05364
0.00197,52.00000,0.10316,1.67409,51.89684,86.88006,0.17270,87.05276
0.00198,52.00000,0.10369,1.67407,51.89631,86.87830,0.17358,87.05188
0.00199,52.00000,0.10421,1.67406,51.89579,86.87655,0.17445,87.05100
